ID,spot_name,spot_location,spot_latitude,spot_longitude,spot_type,nearest_station,when_build,open,close,rating_5Lv,history,culture,nature,religion,amusement,stay_time
1,武蔵国分寺跡,国分寺,35.423802,139.2828026,寺社,国分寺,750,24,24,3,1,1,0,1,0,10
2,都立武蔵国分寺公園,国分寺,35.4151912,139.2818347,公園,西国分寺,2002,24,24,3,0,0,1,0,1,30
3,お鷹の道・真姿の池湧水群,国分寺,35.413903,139.2825565,自然,国分寺,847,24,24,5,0,0,1,0,0,30
4,武蔵国分寺,国分寺,35.4138058,139.2819694,寺社,国分寺,1333,24,24,4,1,1,0,1,0,15
5,都立小金井公園,小金井,35.4300291,139.3100976,公園,小金井,1954,24,24,5,0,0,1,0,1,60
6,江戸東京たてもの園,小金井,35.4256399,139.3045236,博物館,小金井,1993,9,16,3,1,1,0,0,1,45
7,けやき公園,国分寺,35.4239893,139.2828434,公園,国分寺,1980,24,24,5,0,0,1,0,1,40
8,昭和記念公園,立川,35.424197,139.2349866,公園,立川,1983,24,24,5,0,0,1,0,1,70
9,玉川上水緑道,国分寺・小金井・小平・立川,35.4347169,139.2544989,遊歩道,国分寺・小金井,1653,24,24,4,0,0,1,0,1,30
10,谷保天満宮,国立,35.4048379,139.2638867,寺社,国立,903,24,24,4,1,1,0,1,0,20